File accession	File format	Output type	Experiment accession	Assay	Biosample term id	Biosample term name	Biosample type	Biosample life stage	Biosample sex	Biosample Age	Biosample organism	Biosample treatments	Biosample subcellular fraction term name	Biosample phase	Biosample synchronization stage	Experiment target	Antibody accession	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate	Read length	Mapped read length	Run type	Paired end	Paired with	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Assembly	Platform	Controlled by	File Status	Audit WARNING	Audit INTERNAL_ACTION	Audit NOT_COMPLIANT	Audit ERROR
ENCFF141YYX	fastq	reads	ENCSR877OYD	ChIP-seq	UBERON:0006920	esophagus squamous epithelium	tissue	adult	female	51 year	Homo sapiens					POLR2A-human	ENCAB871WRG	DNA					False	2017-01-30	ENCODE				1	1	100		paired-ended	2	ENCFF813TWG		3649156536	Michael Snyder, Stanford	4ee0a4e16ce0b5b0ef5a0bcf1e3a0ff4		https://www.encodeproject.org/files/ENCFF141YYX/@@download/ENCFF141YYX.fastq.gz		HiSeq 4000	/files/ENCFF993FKF/	released	moderate library complexity, mild to moderate bottlenecking, antibody characterized with exemption	experiment not submitted to GEO		
ENCFF813TWG	fastq	reads	ENCSR877OYD	ChIP-seq	UBERON:0006920	esophagus squamous epithelium	tissue	adult	female	51 year	Homo sapiens					POLR2A-human	ENCAB871WRG	DNA					False	2017-01-30	ENCODE				1	1	100		paired-ended	1	ENCFF141YYX		3093949776	Michael Snyder, Stanford	87ae279643cdbec4fa9b00977faed01e		https://www.encodeproject.org/files/ENCFF813TWG/@@download/ENCFF813TWG.fastq.gz		HiSeq 4000	/files/ENCFF398FSP/	released	moderate library complexity, mild to moderate bottlenecking, antibody characterized with exemption	experiment not submitted to GEO		
ENCFF000QGG	fastq	reads	ENCSR000BGX	ChIP-seq	EFO:0002067	K562	immortalized cell line	adult	female	53 year	Homo sapiens					SIX5-human	ENCAB000AKV	DNA		see document	see document		False	2011-07-18	ENCODE				1	1	36		single-ended				919563616	Richard Myers, HAIB	27b3ed7f6b397ca75c6627b5979fc9da		https://www.encodeproject.org/files/ENCFF000QGG/@@download/ENCFF000QGG.fastq.gz		Illumina Genome Analyzer IIx	/files/ENCFF000QFS/	released	inconsistent control read length, low read length	mismatched status, biological replicates with identical biosample		
ENCFF000QGJ	fastq	reads	ENCSR000BGX	ChIP-seq	EFO:0002067	K562	immortalized cell line	adult	female	53 year	Homo sapiens					SIX5-human	ENCAB000AKV	DNA		see document	see document		False	2011-07-18	ENCODE				2	1	36		single-ended				923652399	Richard Myers, HAIB	7b8a52426a0d7f6c75d2404b88327942		https://www.encodeproject.org/files/ENCFF000QGJ/@@download/ENCFF000QGJ.fastq.gz		Illumina Genome Analyzer IIx	/files/ENCFF000QFL/	released	low read length	biological replicates with identical biosample		
ENCFF000OTO	fastq	reads	ENCSR000BIQ	ChIP-seq	EFO:0003042	H1-hESC	stem cell	embryonic	male	unknown	Homo sapiens					SIX5-human	ENCAB000AKV	DNA		see document	see document		False	2011-07-18	ENCODE				1	1	36		single-ended				658029629	Richard Myers, HAIB	a6dbb7d86237603417779c2bc20f66b5		https://www.encodeproject.org/files/ENCFF000OTO/@@download/ENCFF000OTO.fastq.gz		Illumina Genome Analyzer IIx	/files/ENCFF000OSP/	released	low read depth, mild to moderate bottlenecking, low read length	biological replicates with identical biosample		
ENCFF000OTR	fastq	reads	ENCSR000BIQ	ChIP-seq	EFO:0003042	H1-hESC	stem cell	embryonic	male	unknown	Homo sapiens					SIX5-human	ENCAB000AKV	DNA		see document	see document		False	2011-07-18	ENCODE				2	1	36		single-ended				887703055	Richard Myers, HAIB	c605430d1949920e9f47eefeb6af17ab		https://www.encodeproject.org/files/ENCFF000OTR/@@download/ENCFF000OTR.fastq.gz		Illumina Genome Analyzer IIx	/files/ENCFF000OSP/	released	low read depth, mild to moderate bottlenecking, low read length	biological replicates with identical biosample		
ENCFF751ZBO	fastq	reads	ENCSR704IJM	ChIP-seq	UBERON:0001157	transverse colon	tissue	adult	female	51 year	Homo sapiens					EP300-human	ENCAB284TTY	DNA		see document		formaldehyde	False	2017-06-15	ENCODE				1	1	76		paired-ended	1	ENCFF326ZSE		1987396310	Richard Myers, HAIB	a0fed4a413207ca8a62310bddb008a3a		https://www.encodeproject.org/files/ENCFF751ZBO/@@download/ENCFF751ZBO.fastq.gz		HiSeq 2000	/files/ENCFF853XWN/	released	control low read depth, antibody characterized with exemption	experiment not submitted to GEO		
ENCFF326ZSE	fastq	reads	ENCSR704IJM	ChIP-seq	UBERON:0001157	transverse colon	tissue	adult	female	51 year	Homo sapiens					EP300-human	ENCAB284TTY	DNA		see document		formaldehyde	False	2017-06-15	ENCODE				1	1	76		paired-ended	2	ENCFF751ZBO		2030986663	Richard Myers, HAIB	65575e699fc146ce976e218f63a17825		https://www.encodeproject.org/files/ENCFF326ZSE/@@download/ENCFF326ZSE.fastq.gz		HiSeq 2000	/files/ENCFF555QUG/	released	control low read depth, antibody characterized with exemption	experiment not submitted to GEO		
ENCFF441WDI	fastq	reads	ENCSR762DQP	ChIP-seq	EFO:0001182	HEK293	immortalized cell line	embryonic	female	unknown	Homo sapiens					eGFP-ZNF658-human	ENCAB976SGG	DNA				formaldehyde	False	2016-12-19	ENCODE				1	1	101		paired-ended	2	ENCFF561LOR		3161942373	Michael Snyder, Stanford	7e969bdb2eca7361bba71dd592e7f94a		https://www.encodeproject.org/files/ENCFF441WDI/@@download/ENCFF441WDI.fastq.gz		HiSeq 2000	/files/ENCFF010LOC/, /files/ENCFF089HUB/, /files/ENCFF169WOT/, /files/ENCFF184SBV/, /files/ENCFF212MYS/, /files/ENCFF231MWC/, /files/ENCFF247VVB/, /files/ENCFF256KTI/, /files/ENCFF327UHP/, /files/ENCFF374JTH/, /files/ENCFF437BSD/, /files/ENCFF446ZHN/, /files/ENCFF485UTC/, /files/ENCFF502LCH/, /files/ENCFF570XLQ/, /files/ENCFF611URR/, /files/ENCFF674OUR/, /files/ENCFF696JSC/, /files/ENCFF793FGU/, /files/ENCFF804THN/, /files/ENCFF806BJB/, /files/ENCFF825GYY/, /files/ENCFF886JJC/, /files/ENCFF967IDB/	released		experiment not submitted to GEO		
ENCFF796LKB	fastq	reads	ENCSR762DQP	ChIP-seq	EFO:0001182	HEK293	immortalized cell line	embryonic	female	unknown	Homo sapiens					eGFP-ZNF658-human	ENCAB976SGG	DNA				formaldehyde	False	2016-12-19	ENCODE				2	1	101		paired-ended	2	ENCFF331OEC		2333148912	Michael Snyder, Stanford	c34efdd81b63700c6fe1cf2b2bd1487d		https://www.encodeproject.org/files/ENCFF796LKB/@@download/ENCFF796LKB.fastq.gz		HiSeq 2000	/files/ENCFF010LOC/, /files/ENCFF089HUB/, /files/ENCFF169WOT/, /files/ENCFF184SBV/, /files/ENCFF212MYS/, /files/ENCFF231MWC/, /files/ENCFF247VVB/, /files/ENCFF256KTI/, /files/ENCFF327UHP/, /files/ENCFF374JTH/, /files/ENCFF437BSD/, /files/ENCFF446ZHN/, /files/ENCFF485UTC/, /files/ENCFF502LCH/, /files/ENCFF570XLQ/, /files/ENCFF611URR/, /files/ENCFF674OUR/, /files/ENCFF696JSC/, /files/ENCFF793FGU/, /files/ENCFF804THN/, /files/ENCFF806BJB/, /files/ENCFF825GYY/, /files/ENCFF886JJC/, /files/ENCFF967IDB/	released		experiment not submitted to GEO		
ENCFF331OEC	fastq	reads	ENCSR762DQP	ChIP-seq	EFO:0001182	HEK293	immortalized cell line	embryonic	female	unknown	Homo sapiens					eGFP-ZNF658-human	ENCAB976SGG	DNA				formaldehyde	False	2016-12-19	ENCODE				2	1	101		paired-ended	1	ENCFF796LKB		2281738330	Michael Snyder, Stanford	0c2519bfb6c6f84f7385327727d4db06		https://www.encodeproject.org/files/ENCFF331OEC/@@download/ENCFF331OEC.fastq.gz		HiSeq 2000	/files/ENCFF050IAV/, /files/ENCFF055BVM/, /files/ENCFF069TUA/, /files/ENCFF153HYB/, /files/ENCFF259QKU/, /files/ENCFF342YBR/, /files/ENCFF354EZU/, /files/ENCFF370DYU/, /files/ENCFF427XVX/, /files/ENCFF458QHC/, /files/ENCFF534SCD/, /files/ENCFF547QSE/, /files/ENCFF612YLD/, /files/ENCFF642NHF/, /files/ENCFF643OCI/, /files/ENCFF643PJM/, /files/ENCFF660NKL/, /files/ENCFF668LQF/, /files/ENCFF696OLX/, /files/ENCFF769KWF/, /files/ENCFF794JUL/, /files/ENCFF873ZZU/, /files/ENCFF878ZVK/, /files/ENCFF881MQW/	released		experiment not submitted to GEO		
ENCFF561LOR	fastq	reads	ENCSR762DQP	ChIP-seq	EFO:0001182	HEK293	immortalized cell line	embryonic	female	unknown	Homo sapiens					eGFP-ZNF658-human	ENCAB976SGG	DNA				formaldehyde	False	2016-12-19	ENCODE				1	1	101		paired-ended	1	ENCFF441WDI		3099357338	Michael Snyder, Stanford	3da8561d83f226334b1fc3e4bf9a079b		https://www.encodeproject.org/files/ENCFF561LOR/@@download/ENCFF561LOR.fastq.gz		HiSeq 2000	/files/ENCFF050IAV/, /files/ENCFF055BVM/, /files/ENCFF069TUA/, /files/ENCFF153HYB/, /files/ENCFF259QKU/, /files/ENCFF342YBR/, /files/ENCFF354EZU/, /files/ENCFF370DYU/, /files/ENCFF427XVX/, /files/ENCFF458QHC/, /files/ENCFF534SCD/, /files/ENCFF547QSE/, /files/ENCFF612YLD/, /files/ENCFF642NHF/, /files/ENCFF643OCI/, /files/ENCFF643PJM/, /files/ENCFF660NKL/, /files/ENCFF668LQF/, /files/ENCFF696OLX/, /files/ENCFF769KWF/, /files/ENCFF794JUL/, /files/ENCFF873ZZU/, /files/ENCFF878ZVK/, /files/ENCFF881MQW/	released		experiment not submitted to GEO		
ENCFF001HNI	fastq	reads	ENCSR000DUB	ChIP-seq	EFO:0002791	HeLa-S3	immortalized cell line	adult	female	31 year	Homo sapiens			G1b		CTCF-human	ENCAB000AFP	DNA		see document	see document		False	2011-03-17	ENCODE				1	1	36		single-ended				534971248	John Stamatoyannopoulos, UW	8f3ac615c1744db3b046b585d0bda37f		https://www.encodeproject.org/files/ENCFF001HNI/@@download/ENCFF001HNI.fastq.gz		Illumina Genome Analyzer II	/files/ENCFF001HNS/	released	moderate library complexity, control low read depth, mild to moderate bottlenecking, inconsistent platforms, low read length		insufficient read depth	
ENCFF001HNP	fastq	reads	ENCSR000DUB	ChIP-seq	EFO:0002791	HeLa-S3	immortalized cell line	adult	female	31 year	Homo sapiens			G1b		CTCF-human	ENCAB000AFP	DNA		see document	see document		False	2011-03-17	ENCODE				2	1	36		single-ended				734118405	John Stamatoyannopoulos, UW	42c3d67b6746b8a81a7d74a7bab1e8a6		https://www.encodeproject.org/files/ENCFF001HNP/@@download/ENCFF001HNP.fastq.gz		Illumina Genome Analyzer II	/files/ENCFF001HNS/	released	moderate library complexity, control low read depth, mild to moderate bottlenecking, inconsistent platforms, low read length		insufficient read depth	
ENCFF001GXV	fastq	reads	ENCSR000DPS	ChIP-seq	CL:0002552	fibroblast of gingiva	primary cell	adult	female	24 year	Homo sapiens					CTCF-human	ENCAB000AFP	DNA		see document	see document		False	2011-03-17	ENCODE				1	1	36		single-ended				975870126	John Stamatoyannopoulos, UW	e69b1076ece750fdabafde43a38260ae		https://www.encodeproject.org/files/ENCFF001GXV/@@download/ENCFF001GXV.fastq.gz		Illumina Genome Analyzer II	/files/ENCFF001GXZ/	released	low read depth, moderate library complexity, mild to moderate bottlenecking, inconsistent platforms, low read length			
ENCFF001GXW	fastq	reads	ENCSR000DPS	ChIP-seq	CL:0002552	fibroblast of gingiva	primary cell	adult	female	24 year	Homo sapiens					CTCF-human	ENCAB000AFP	DNA		see document	see document		False	2011-03-17	ENCODE				2	1	36		single-ended				1111267247	John Stamatoyannopoulos, UW	90e90cce1e2452dc6ec017c187735e3a		https://www.encodeproject.org/files/ENCFF001GXW/@@download/ENCFF001GXW.fastq.gz		Illumina Genome Analyzer II	/files/ENCFF001GXZ/	released	low read depth, moderate library complexity, mild to moderate bottlenecking, inconsistent platforms, low read length			
ENCFF000YFP	fastq	reads	ENCSR000EGD	ChIP-seq	EFO:0002067	K562	immortalized cell line	adult	female	53 year	Homo sapiens					BACH1-human	ENCAB000AEA	DNA		see document	see document		False	2012-05-14	ENCODE				1	1	36		single-ended				780005974	Michael Snyder, Stanford	5cb62dd46abd1f3d9d7a031884fe5279		https://www.encodeproject.org/files/ENCFF000YFP/@@download/ENCFF000YFP.fastq.gz		Illumina Genome Analyzer	/files/ENCFF000YRB/	released	low read depth, inconsistent target of control experiment, mild to moderate bottlenecking, low read length	biological replicates with identical biosample		
ENCFF000YFR	fastq	reads	ENCSR000EGD	ChIP-seq	EFO:0002067	K562	immortalized cell line	adult	female	53 year	Homo sapiens					BACH1-human	ENCAB000AEA	DNA		see document	see document		False	2012-05-14	ENCODE				2	1	36		single-ended				1275356408	Michael Snyder, Stanford	701ba8b604469d0a5bea851d7cfa0453		https://www.encodeproject.org/files/ENCFF000YFR/@@download/ENCFF000YFR.fastq.gz		Illumina Genome Analyzer	/files/ENCFF000YRB/	released	low read depth, inconsistent target of control experiment, mild to moderate bottlenecking, low read length	biological replicates with identical biosample		
ENCFF000ZHG	fastq	reads	ENCSR000DOM	ChIP-seq	EFO:0001200	MCF 10A	immortalized cell line	adult	female	36 year	Homo sapiens	afimoxifene				MYC-human	ENCAB000AET	DNA		see document	see document		False	2012-05-14	ENCODE				1	1	36		single-ended				994336994	Kevin Struhl, HMS	5929dffd052ea7c4fd5a97ce48ac621e		https://www.encodeproject.org/files/ENCFF000ZHG/@@download/ENCFF000ZHG.fastq.gz		Illumina Genome Analyzer	/files/ENCFF000ZHZ/, /files/ENCFF000ZIB/, /files/ENCFF000ZID/, /files/ENCFF000ZIF/, /files/ENCFF000ZIH/, /files/ENCFF000ZIJ/	released	low read depth, mild to moderate bottlenecking, low read length	biological replicates with identical biosample		
ENCFF000ZHI	fastq	reads	ENCSR000DOM	ChIP-seq	EFO:0001200	MCF 10A	immortalized cell line	adult	female	36 year	Homo sapiens	afimoxifene				MYC-human	ENCAB000AET	DNA		see document	see document		False	2012-05-14	ENCODE				2	1	36		single-ended				1346476694	Kevin Struhl, HMS	c2424d980d948002885e4c2921891a95		https://www.encodeproject.org/files/ENCFF000ZHI/@@download/ENCFF000ZHI.fastq.gz		Illumina Genome Analyzer	/files/ENCFF000ZHZ/, /files/ENCFF000ZIB/, /files/ENCFF000ZID/, /files/ENCFF000ZIF/, /files/ENCFF000ZIH/, /files/ENCFF000ZIJ/	released	low read depth, mild to moderate bottlenecking, low read length	biological replicates with identical biosample		
ENCFF000ZAY	fastq	reads	ENCSR000EGA	ChIP-seq	EFO:0002067	K562	immortalized cell line	adult	female	53 year	Homo sapiens					TBL1XR1-human	ENCAB000ALP	DNA		see document	see document		False	2012-05-14	ENCODE				1	1	36		single-ended				1089528817	Michael Snyder, Stanford	bd6158c2a6497f67731000c8624ef614		https://www.encodeproject.org/files/ENCFF000ZAY/@@download/ENCFF000ZAY.fastq.gz		Illumina Genome Analyzer	/files/ENCFF000YRB/	released	low read depth, inconsistent target of control experiment, low read length	biological replicates with identical biosample		
ENCFF000ZBA	fastq	reads	ENCSR000EGA	ChIP-seq	EFO:0002067	K562	immortalized cell line	adult	female	53 year	Homo sapiens					TBL1XR1-human	ENCAB000ALP	DNA		see document	see document		False	2012-05-14	ENCODE				2	1	36		single-ended				984042749	Michael Snyder, Stanford	5df641f16848db69fe7b77fa5763498a		https://www.encodeproject.org/files/ENCFF000ZBA/@@download/ENCFF000ZBA.fastq.gz		Illumina Genome Analyzer	/files/ENCFF000YRB/	released	low read depth, inconsistent target of control experiment, low read length	biological replicates with identical biosample		
ENCFF938TZP	fastq	reads	ENCSR243INX	ChIP-seq	EFO:0002847	PC-9	immortalized cell line	unknown	unknown	unknown	Homo sapiens					CTCF-human	ENCAB000AXX	DNA					False	2017-01-12	ENCODE				2	1	25		paired-ended	1	ENCFF307MIM		902497612	Bradley Bernstein, Broad	bdfe2e2a6faf6d6905667d3ef87bebab		https://www.encodeproject.org/files/ENCFF938TZP/@@download/ENCFF938TZP.fastq.gz		HiSeq 2500		archived	moderate library complexity, mild to moderate bottlenecking, mixed run types, antibody characterized with exemption	NTR biosample	missing controlled_by	
ENCFF307MIM	fastq	reads	ENCSR243INX	ChIP-seq	EFO:0002847	PC-9	immortalized cell line	unknown	unknown	unknown	Homo sapiens					CTCF-human	ENCAB000AXX	DNA					False	2017-01-12	ENCODE				2	1	25		paired-ended	2	ENCFF938TZP		913614735	Bradley Bernstein, Broad	50279f6fc802bcc34d081d48f89c4a44		https://www.encodeproject.org/files/ENCFF307MIM/@@download/ENCFF307MIM.fastq.gz		HiSeq 2500		archived	moderate library complexity, mild to moderate bottlenecking, mixed run types, antibody characterized with exemption	NTR biosample	missing controlled_by	
ENCFF932CIF	fastq	reads	ENCSR243INX	ChIP-seq	EFO:0002847	PC-9	immortalized cell line	unknown	unknown	unknown	Homo sapiens					CTCF-human	ENCAB000AXX	DNA					False	2017-01-12	ENCODE				1	1	76		paired-ended	1	ENCFF005AGI		2569745938	Bradley Bernstein, Broad	0a80fa14d11beb41ed4a7f3a16bedd5e	SRA:SRR5832731	https://www.encodeproject.org/files/ENCFF932CIF/@@download/ENCFF932CIF.fastq.gz		HiSeq 2000	/files/ENCFF163PYU/, /files/ENCFF522PVI/, /files/ENCFF639RMG/, /files/ENCFF716YLE/	released	moderate library complexity, mild to moderate bottlenecking, mixed run types, antibody characterized with exemption	NTR biosample		
ENCFF005AGI	fastq	reads	ENCSR243INX	ChIP-seq	EFO:0002847	PC-9	immortalized cell line	unknown	unknown	unknown	Homo sapiens					CTCF-human	ENCAB000AXX	DNA					False	2017-01-12	ENCODE				1	1	76		paired-ended	2	ENCFF932CIF		2599419774	Bradley Bernstein, Broad	524c1b43aea5b25f798700b585398d6f	SRA:SRR5832731	https://www.encodeproject.org/files/ENCFF005AGI/@@download/ENCFF005AGI.fastq.gz		HiSeq 2000	/files/ENCFF272GOE/, /files/ENCFF486LTO/, /files/ENCFF665BBC/, /files/ENCFF830CTU/	released	moderate library complexity, mild to moderate bottlenecking, mixed run types, antibody characterized with exemption	NTR biosample		
ENCFF248HFJ	fastq	reads	ENCSR243INX	ChIP-seq	EFO:0002847	PC-9	immortalized cell line	unknown	unknown	unknown	Homo sapiens					CTCF-human	ENCAB000AXX	DNA					False	2017-01-12	ENCODE				2	1	76		single-ended				1237994315	Bradley Bernstein, Broad	043aab8968af20017a6034d53619690c	SRA:SRR5832729	https://www.encodeproject.org/files/ENCFF248HFJ/@@download/ENCFF248HFJ.fastq.gz		HiSeq 2500	/files/ENCFF057DOL/, /files/ENCFF243MZN/, /files/ENCFF452ROQ/, /files/ENCFF527WMD/, /files/ENCFF584YEG/	released	antibody characterized with exemption, moderate library complexity, mild to moderate bottlenecking, mixed run types, inconsistent control run_type	NTR biosample		
ENCFF411AYK	fastq	reads	ENCSR243INX	ChIP-seq	EFO:0002847	PC-9	immortalized cell line	unknown	unknown	unknown	Homo sapiens					CTCF-human	ENCAB000AXX	DNA					False	2017-01-12	ENCODE				2	1	76		single-ended				1250491435	Bradley Bernstein, Broad	5a5881ddac006c7509750eee15d36515	SRA:SRR5832730	https://www.encodeproject.org/files/ENCFF411AYK/@@download/ENCFF411AYK.fastq.gz		HiSeq 2500	/files/ENCFF057DOL/, /files/ENCFF243MZN/, /files/ENCFF452ROQ/, /files/ENCFF527WMD/, /files/ENCFF584YEG/	released	antibody characterized with exemption, moderate library complexity, mild to moderate bottlenecking, mixed run types, inconsistent control run_type	NTR biosample		
ENCFF001GYP	fastq	reads	ENCSR000DPV	ChIP-seq	CL:2000013	fibroblast of skin of abdomen	primary cell	adult	male	22 year	Homo sapiens					CTCF-human	ENCAB000AFP	DNA		see document	see document		False	2011-03-17	ENCODE				1	1	36		single-ended				1193944670	John Stamatoyannopoulos, UW	2f8f848267352bb4eb567611e15c2bb9		https://www.encodeproject.org/files/ENCFF001GYP/@@download/ENCFF001GYP.fastq.gz		Illumina Genome Analyzer II	/files/ENCFF001GYO/	released	control low read depth, mild to moderate bottlenecking, inconsistent platforms, low read length			
ENCFF001GYQ	fastq	reads	ENCSR000DPV	ChIP-seq	CL:2000013	fibroblast of skin of abdomen	primary cell	adult	male	22 year	Homo sapiens					CTCF-human	ENCAB000AFP	DNA		see document	see document		False	2011-03-17	ENCODE				2	1	36		single-ended				1422349132	John Stamatoyannopoulos, UW	15cfd086f359dfa8b75f3c618fada330		https://www.encodeproject.org/files/ENCFF001GYQ/@@download/ENCFF001GYQ.fastq.gz		Illumina Genome Analyzer II	/files/ENCFF001GYO/	released	control low read depth, mild to moderate bottlenecking, inconsistent platforms, low read length			
ENCFF000QII	fastq	reads	ENCSR000BNM	ChIP-seq	EFO:0002067	K562	immortalized cell line	adult	female	53 year	Homo sapiens					TAF7-human	ENCAB000ALN	DNA		see document	see document		False	2011-07-18	ENCODE				1	1	36		single-ended				657079315	Richard Myers, HAIB	f0a12c56bcae296ba13d617ff6c3f57f		https://www.encodeproject.org/files/ENCFF000QII/@@download/ENCFF000QII.fastq.gz		Illumina Genome Analyzer IIx	/files/ENCFF000QEX/	released	low read depth, moderate library complexity, mild to moderate bottlenecking, low read length	biological replicates with identical biosample	control low read depth	
ENCFF000QIM	fastq	reads	ENCSR000BNM	ChIP-seq	EFO:0002067	K562	immortalized cell line	adult	female	53 year	Homo sapiens					TAF7-human	ENCAB000ALN	DNA		see document	see document		False	2011-07-18	ENCODE				2	1	36		single-ended				926068600	Richard Myers, HAIB	eec490d05f0fa4be5e79023129b8d259		https://www.encodeproject.org/files/ENCFF000QIM/@@download/ENCFF000QIM.fastq.gz		Illumina Genome Analyzer IIx	/files/ENCFF000QEX/	released	low read depth, moderate library complexity, mild to moderate bottlenecking, low read length	biological replicates with identical biosample	control low read depth	
ENCFF668XNA	fastq	reads	ENCSR244ZAO	ChIP-seq	UBERON:0001159	sigmoid colon	tissue	adult	female	51 year	Homo sapiens					EP300-human	ENCAB284TTY	DNA		see document		formaldehyde	False	2017-06-15	ENCODE				1	1	76		paired-ended	1	ENCFF299MXH		2783674190	Richard Myers, HAIB	4c94f766015e867e6a9cad58177b507e		https://www.encodeproject.org/files/ENCFF668XNA/@@download/ENCFF668XNA.fastq.gz		HiSeq 2000	/files/ENCFF875MBM/	released	antibody characterized with exemption	experiment not submitted to GEO		
ENCFF299MXH	fastq	reads	ENCSR244ZAO	ChIP-seq	UBERON:0001159	sigmoid colon	tissue	adult	female	51 year	Homo sapiens					EP300-human	ENCAB284TTY	DNA		see document		formaldehyde	False	2017-06-15	ENCODE				1	1	76		paired-ended	2	ENCFF668XNA		2832695157	Richard Myers, HAIB	cf7969e068fbfe8d9c94457768a61481		https://www.encodeproject.org/files/ENCFF299MXH/@@download/ENCFF299MXH.fastq.gz		HiSeq 2000	/files/ENCFF267TPL/	released	antibody characterized with exemption	experiment not submitted to GEO		
ENCFF296YDQ	fastq	reads	ENCSR428BKN	ChIP-seq	UBERON:0011907	gastrocnemius medialis	tissue	adult	female	53 year	Homo sapiens					CTCF-human	ENCAB830JLB	DNA					False	2016-12-13	ENCODE				1	1	100		paired-ended	1	ENCFF255INZ		2274357108	Michael Snyder, Stanford	46c1a634945630efe0674400669159b6		https://www.encodeproject.org/files/ENCFF296YDQ/@@download/ENCFF296YDQ.fastq.gz		HiSeq 4000	/files/ENCFF624TVL/	released	moderate library complexity, mild to moderate bottlenecking, antibody characterized with exemption	experiment not submitted to GEO		
ENCFF255INZ	fastq	reads	ENCSR428BKN	ChIP-seq	UBERON:0011907	gastrocnemius medialis	tissue	adult	female	53 year	Homo sapiens					CTCF-human	ENCAB830JLB	DNA					False	2016-12-13	ENCODE				1	1	100		paired-ended	2	ENCFF296YDQ		2714512525	Michael Snyder, Stanford	4192aaf2a05c3f0e88763ae8e87f91cd		https://www.encodeproject.org/files/ENCFF255INZ/@@download/ENCFF255INZ.fastq.gz		HiSeq 4000	/files/ENCFF974YEI/	released	moderate library complexity, mild to moderate bottlenecking, antibody characterized with exemption	experiment not submitted to GEO		
ENCFF643QTB	fastq	reads	ENCSR343ELW	ChIP-seq	EFO:0002067	K562	immortalized cell line	adult	female	53 year	Homo sapiens					LEF1-human	ENCAB961BDT	DNA					False	2016-07-05	ENCODE				4	1	100		paired-ended	1	ENCFF103BRX		2881727182	Michael Snyder, Stanford	423e3b1305b634e216fc8d99654e85af	SRA:SRR5111450	https://www.encodeproject.org/files/ENCFF643QTB/@@download/ENCFF643QTB.fastq.gz		HiSeq 2000	/files/ENCFF002EFD/	released	mild to moderate bottlenecking	missing unfiltered alignments		
ENCFF103BRX	fastq	reads	ENCSR343ELW	ChIP-seq	EFO:0002067	K562	immortalized cell line	adult	female	53 year	Homo sapiens					LEF1-human	ENCAB961BDT	DNA					False	2016-07-05	ENCODE				4	1	100		paired-ended	2	ENCFF643QTB		2916448783	Michael Snyder, Stanford	2b0105499c62470e5d9f952d3f85c63a	SRA:SRR5111450	https://www.encodeproject.org/files/ENCFF103BRX/@@download/ENCFF103BRX.fastq.gz		HiSeq 2000	/files/ENCFF002EFA/	released	mild to moderate bottlenecking	missing unfiltered alignments		
ENCFF238ZLM	fastq	reads	ENCSR343ELW	ChIP-seq	EFO:0002067	K562	immortalized cell line	adult	female	53 year	Homo sapiens					LEF1-human	ENCAB961BDT	DNA					False	2016-07-05	ENCODE				3	1	100		paired-ended	2	ENCFF211HML		3260929120	Michael Snyder, Stanford	87e801a4f46eaf9b8e46c65118aed5cc	SRA:SRR5111451	https://www.encodeproject.org/files/ENCFF238ZLM/@@download/ENCFF238ZLM.fastq.gz		HiSeq 2000	/files/ENCFF002EFH/	released	mild to moderate bottlenecking	missing unfiltered alignments		
ENCFF211HML	fastq	reads	ENCSR343ELW	ChIP-seq	EFO:0002067	K562	immortalized cell line	adult	female	53 year	Homo sapiens					LEF1-human	ENCAB961BDT	DNA					False	2016-07-05	ENCODE				3	1	100		paired-ended	1	ENCFF238ZLM		3255722435	Michael Snyder, Stanford	c5a5779e83814b1564baa4aebdb63e1e	SRA:SRR5111451	https://www.encodeproject.org/files/ENCFF211HML/@@download/ENCFF211HML.fastq.gz		HiSeq 2000	/files/ENCFF002EFF/	released	mild to moderate bottlenecking	missing unfiltered alignments		
ENCFF920QMA	fastq	reads	ENCSR928LDG	ChIP-seq	UBERON:0036149	suprapubic skin	tissue	adult	female	53 year	Homo sapiens					EP300-human	ENCAB284TTY	DNA		see document		formaldehyde	False	2017-06-15	ENCODE				1	1	76		paired-ended	1	ENCFF513RVZ		3451283868	Richard Myers, HAIB	0feb0a06cb82bc1eab0d8f8a5cd9435e		https://www.encodeproject.org/files/ENCFF920QMA/@@download/ENCFF920QMA.fastq.gz		HiSeq 2000	/files/ENCFF353DLW/	released	antibody characterized with exemption	experiment not submitted to GEO		
ENCFF513RVZ	fastq	reads	ENCSR928LDG	ChIP-seq	UBERON:0036149	suprapubic skin	tissue	adult	female	53 year	Homo sapiens					EP300-human	ENCAB284TTY	DNA		see document		formaldehyde	False	2017-06-15	ENCODE				1	1	76		paired-ended	2	ENCFF920QMA		3611084352	Richard Myers, HAIB	43b73bc4d38ba000fd226e3cb97937a7		https://www.encodeproject.org/files/ENCFF513RVZ/@@download/ENCFF513RVZ.fastq.gz		HiSeq 2000	/files/ENCFF214RDT/	released	antibody characterized with exemption	experiment not submitted to GEO		
